Date	Time	Airplane	Tail#	Custom	Route	SEL	Act. Inst.	Sim. Inst.	Inst. App.	FTD	Day LDG	Night LDG	Ground Training	Dual Rcvd	Cross Country	Day	Night	Solo	Pilot in Cmd	pic x_Country	SES	MES	G1000	Complex	High Perf.	Tail Dragger	Dual Given	Total	Notes	Passengers
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
																				0.0										
